,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth
9862,DOT/EUR,Bittrex,9742.76605921,0.0004975218094971284,112060.90725549,53002.32686777
9863,DOT/ETH,Kraken,2332746.28295384,0.11912347527792352,793453.67567789,698978.73871332
9864,DOT/ETH,OKEx,270815.88045243,0.013829420317024036,40249.51709117,550703.281275
9865,DOT/ETH,Bittrex,61519.53633028,0.0031415422323038985,183459.15293691,185189.67752165
9866,DOT/ETH,HitBTC,2703.62837483,0.0001380628533086498,1951942.13202317,1193984.32019785
9867,DOT/ETH,Changelly PRO,2703.62837483,0.0001380628533086498,1952225.82199009,1194486.01472008
9868,DOT/ELP,PancakeSwap (V2),12393.95394629,0.0006329067491416573,0.0,0.0
9869,DOT/CRO,Crypto.com Exchange,169154.38014679,0.008637997954948342,6940.88868134,511278.84041442
9870,DOT/BUSD,Mandala Exchange,57179678.54212924,2.9199240710344023,120048.43354976,208290.57057021
9871,DOT/BUSD,Binance,55702834.95502998,2.8445079223418785,502479.55166316,1187668.57910696
